CPNAME,Label
BALBOA PARK,BALBOA PARK
BARRIO LOGAN,BARRIO LOGAN
BLACK MOUNTAIN RANCH,BLACK MOUNTAIN RANCH
CARMEL MOUNTAIN RANCH,CARMEL MOUNTAIN RANCH
CARMEL VALLEY,CARMEL VALLEY
MID-CITY:CITY HEIGHTS,CITY HEIGHTS
CLAIREMONT MESA,CLAIREMONT MESA
COLLEGE AREA,COLLEGE AREA
DEL MAR MESA,DEL MAR MESA
DOWNTOWN,DOWNTOWN
EAST ELLIOTT,EAST ELLIOTT
MID-CITY:EASTERN AREA,EASTERN AREA
ENCANTO NEIGHBORHOODS,ENCANTO NEIGHBORHOODS
FAIRBANKS RANCH COUNTRY CLUB,FAIRBANKS RANCH COUNTRY CLUB
GREATER GOLDEN HILL,GREATER GOLDEN HILL
KEARNY MESA,KEARNY MESA
MID-CITY:KENSINGTON-TALMADGE,KENSINGTON-TALMADGE
LA JOLLA,LA JOLLA
LINDA VISTA,LINDA VISTA
LOS PENASQUITOS CANYON,LOS PENASQUITOS CANYON
MIDWAY-PACIFIC HIGHWAY,MIDWAY-PACIFIC HIGHWAY
MILITARY FACILITIES,MILITARY FACILITIES
MIRA MESA,MIRA MESA
MIRAMAR RANCH NORTH,MIRAMAR RANCH NORTH
MISSION BAY PARK,MISSION BAY PARK
MISSION BEACH,MISSION BEACH
MISSION VALLEY,MISSION VALLEY
NAVAJO,NAVAJO
NCFUA SUBAREA II,NCFUA SUBAREA II
MID-CITY:NORMAL HEIGHTS,NORMAL HEIGHTS
NORTH PARK,NORTH PARK
OCEAN BEACH,OCEAN BEACH
OLD TOWN SAN DIEGO,OLD TOWN SAN DIEGO
OTAY MESA,OTAY MESA
OTAY MESA-NESTOR,OTAY MESA-NESTOR
PACIFIC BEACH,PACIFIC BEACH
PACIFIC HIGHLANDS RANCH,PACIFIC HIGHLANDS RANCH
PENINSULA,PENINSULA
RANCHO BERNARDO,RANCHO BERNARDO
RANCHO ENCANTADA,RANCHO ENCANTADA
RANCHO PENASQUITOS,RANCHO PENASQUITOS
RESERVE,RESERVE
SABRE SPRINGS,SABRE SPRINGS
SAN PASQUAL,SAN PASQUAL
SAN YSIDRO,SAN YSIDRO
SCRIPPS MIRAMAR RANCH,SCRIPPS MIRAMAR RANCH
SERRA MESA,SERRA MESA
SKYLINE-PARADISE HILLS,SKYLINE-PARADISE HILLS
SOUTHEASTERN SAN DIEGO,SOUTHEASTERN SAN DIEGO
TIERRASANTA,TIERRASANTA
TIJUANA RIVER VALLEY,TIJUANA RIVER VALLEY
TORREY HIGHLANDS,TORREY HIGHLANDS
TORREY HILLS,TORREY HILLS
TORREY PINES,TORREY PINES
UNIVERSITY,UNIVERSITY
UPTOWN,UPTOWN
VIA DE LA VALLE,VIA DE LA VALLE
